"id","arquivo","classificacao","detalhe","fb0","instrucoes"
"12875","imicro3d.mod","CreateInstance falhou","","0xFF000000","78"
"263019","chessbots.mod","CreateInstance falhou","","0xFF000000","76"
"274214","cnk2.mod","descarrilou","0x12000000","0xFF000000","3673416"
"274259","a3d.mod","CreateInstance falhou","","0xFF000000","79"
"274754","ddragonz.mod","rodando","","0xFF000000","17671"
"274755","tectoy.mod","CLSID desconhecido","[WARN] [Zeebo] CreateInstance case 5: CLSID desconhecido 0x0100104F (esperado 0x0100101C)","0xFF000000","108263191"
"274791","zeebo_app.mod","rodando","","0xFF000000","2023"
"274802","quake.mod","rodando","","0xFF000000","1245"
"274803","fifa09.mod","CreateInstance falhou","","0xFF000000","213"
"274804","brainchallenge.mod","rodando","","0xFF000000","5985220"
"276121","nfs.mod","CreateInstance falhou","","0xFF000000","79"
"276151","alpineracerex.mod","CreateInstance falhou","","0xFF000000","85"
"276152","ridgeracer.mod","CreateInstance falhou","","0xFF000000","76"
"276153","quake2brew.mod","rodando","","0xFF000000","373"
"276154","prey3d.mod","CreateInstance falhou","","0xFF000000","74"
"276212","pacmania.mod","rodando","","0xFF000000","145686"
"276675","bio4_brew.mod","CreateInstance falhou","","0xFF000000","105"
"276731","tekken2.mod","CreateInstance falhou","","0xFF000000","93"
"276809","Rolimaz.mod","CreateInstance falhou","","0xFF000000","79"
"277083","bjt.mod","CreateInstance falhou","","0xFF000000","82"
"277229","game.mod","rodando","","0xFF000000","58980218"
"277285","AirRacez.mod","CreateInstance falhou","","0xFF000000","79"
"277380","gof.mod","CreateInstance falhou","","0xFF000000","63"
"277455","zenonia.mod","descarrilou","0x30000000","0x3D3D3D3D","229445"
"277495","reksio.mod","rodando","","0xFF000000","16138"
"277534","zeebotennis.mod","CreateInstance falhou","","0xFF000000","74"
"277727","Bajaz.mod","rodando","","0xFF000000","137222"
"278200","heavyweaponbrew.mod","CreateInstance falhou","","0xFF000000","91"
"278212","zeebovolley.mod","CreateInstance falhou","","0xFF000000","74"
"278282","rmp.mod","CreateInstance falhou","","0xFF000000","63"
"278283","JetBoardz.mod","CreateInstance falhou","","0xFF000000","79"
"278285","Boiaz.mod","CreateInstance falhou","","0xFF000000","79"
"278738","dodgeball.mod","CreateInstance falhou","","0xFF000000","74"
"278962","peggle.mod","CreateInstance falhou","","0xFF000000","87"
"278965","toyraidzeebo.mod","CreateInstance falhou","","0xFF000000","86"
"278986","cninja.mod","descarrilou","0x12000000","0xFF000000","4148118"
"278987","spinmast.mod","descarrilou","0x12000000","0xFF000000","4148112"
"278988","strhoop.mod","descarrilou","0x12000000","0xFF000000","4148112"
"279036","game.mod","descarrilou","0x12000000","0xFF000000","3682908"
"279125","supbtime.mod","descarrilou","0x12000000","0xFF000000","4148148"
"279126","karnovr.mod","descarrilou","0x12000000","0xFF000000","4148136"
"279159","zeebopeteca.mod","CreateInstance falhou","","0xFF000000","74"
"279173","wizdfire.mod","descarrilou","0x12000000","0xFF000000","4148148"
"279200","magdrop3.mod","descarrilou","0x12000000","0xFF000000","4148148"
"279233","darkseal.mod","descarrilou","0x12000000","0xFF000000","4147818"
"279369","abd.mod","CreateInstance falhou","","0xFF000000","77"
"279380","footparty.mod","CreateInstance falhou","","0xFF000000","74"
"279382","zeeboids.mod","rodando","","0xFF000000","544678"
"279394","rocketweb.mod","CLSID desconhecido","[WARN] [Zeebo] CreateInstance case 5: CLSID desconhecido 0x00000000 (esperado 0x0100101C)","0xFF000000","1128"
"279712","zumar.mod","CreateInstance falhou","","0xFF000000","87"
"279888","baddudes.mod","descarrilou","0x12000000","0xFF000000","4156482"
"279889","hbarrel.mod","descarrilou","0x12000000","0xFF000000","4156482"
"280173","allstarcards.mod","CreateInstance falhou","","0xFF000000","79"
"280214","asq.mod","CreateInstance falhou","","0xFF000000","141"
"280221","ironsight.mod","CreateInstance falhou","","0xFF000000","141"
"280238","pbc.mod","CreateInstance falhou","","0xFF000000","63"
"280386","alice.mod","CreateInstance falhou","","0xFF000000","74"
"280394","recklessracing.mod","CreateInstance falhou","","0xFF000000","141"
"280463","torkandkral.mod","CreateInstance falhou","","0xFF000000","92"
"280602","rt2.mod","CreateInstance falhou","","0xFF000000","141"
"280634","activitycenter.mod","CreateInstance falhou","","0xFF000000","59"
"280647","funsoccer.mod","CreateInstance falhou","","0xFF000000","59"
